Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?
0x44e1715ccabafe202857686bd24bca9ebb7fde6ccee824e4bffa2d2e46610b3f,2022-09-09,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0xb352bb4e2a4f27683435f153a259f1b207218b1b,ETHLimo,ETHLimo,-60000.0,-60047.7,USDC,1
0x44e1715ccabafe202857686bd24bca9ebb7fde6ccee824e4bffa2d2e46610b3f,2022-09-09,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0xb352bb4e2a4f27683435f153a259f1b207218b1b,ETHLimo,ETHLimo,-10.0,-17193.5,ETH,1
0x44e1715ccabafe202857686bd24bca9ebb7fde6ccee824e4bffa2d2e46610b3f,2022-09-09,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0xb352bb4e2a4f27683435f153a259f1b207218b1b,ETHLimo,ETHLimo,-3000.0,-46174.12,ENS,1
0xf40e1c129ab1d20576a4a6776b16624e0a7d08d492b2433a214127e45584121d,2022-09-29,0x9718ba71dc1284842fce66dc3e34dffc6c630074,Community SG ,Community SG ,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,10000.0,157405.37,ENS,1
0x3cbf93527e747c04755893e1f4dec4cc175ab01ec487214827b7bfcd5916f9bc,2022-09-29,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x1208a26faa0f4ac65b42098419eb4daa5e580ac6,stevegachau.eth,Eco. Grants,-8000.0,-8012.8,USDC,1
0x37e5da9b27cb589bac3d4d4670687bf1a9f39a6bed59760bab354843b7b379d9,2022-09-29,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x082fc1776d44f69988c475958a0505a5bc2cd77b,ESF,Eco. Grants,-20000.0,-20032.0,USDC,1
0x37e5da9b27cb589bac3d4d4670687bf1a9f39a6bed59760bab354843b7b379d9,2022-09-29,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x082fc1776d44f69988c475958a0505a5bc2cd77b,ESF,Eco. Grants,-250.0,-3935.13,ENS,1
0x30c4cb2817f1fc5010840493cc114efc969a51c20f2ce1a7ca91efe3d20eea8e,2022-10-03,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x682552053c1b6905f3115a8877fb8279145ba4b8,mattwright.eth,Eco. Small Grants,-0.5,-661.66,ETH,1
0xe34a75e03f0138e79b140264c635af01a7f9b5a3d9f15f7ace15b656a28b3f14,2022-10-05,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0x1208a26faa0f4ac65b42098419eb4daa5e580ac6,stevegachau.eth,Eco. Small Grants,-1.0,-1352.44,ETH,1
0xe34a75e03f0138e79b140264c635af01a7f9b5a3d9f15f7ace15b656a28b3f14,2022-10-05,0x2686a8919df194aa7673244549e68d42c1685d03,Ecosystem,Ecosystem,0xbdc84e4692a7f3efbb210aa3b8defaabb5dd9402,publicburn.eth,Eco. Small Grants,-1.0,-1352.44,ETH,1
